,Time,T,P,V,O
0,2017-01-01 00:00:00,-31.691194912548177,751.1264654244865,65.84559745627409,0.0041
1,2017-01-01 01:00:00,-31.52566724212874,751.172813172204,,0.0082
2,2017-01-01 02:00:00,-30.32170020745994,751.5099239419112,,0.0123
3,2017-01-01 03:00:00,-29.215542009480124,751.8196482373455,64.60777100474006,0.0164
4,2017-01-01 04:00:00,-26.91999739123444,752.4624007304543,,0.020500000000000004
5,2017-01-01 05:00:00,-24.489709395739386,753.142881369193,,0.024600000000000004
6,2017-01-01 06:00:00,-22.06307425336621,753.8223392090574,,0.028700000000000003
7,2017-01-01 07:00:00,-19.100713238860514,754.6518002931191,59.55035661943026,0.0328
8,2017-01-01 08:00:00,-16.858103389634856,755.2797310509022,58.42905169481743,0.0369
9,2017-01-01 09:00:00,-14.712554220995338,755.8804848181213,57.35627711049767,0.041
10,2017-01-01 10:00:00,-13.408960495760454,756.2454910611871,56.70448024788023,0.0451
11,2017-01-01 11:00:00,-12.278038939094452,756.5621490970535,56.13901946954723,0.049199999999999994
12,2017-01-01 12:00:00,-12.118799848380858,756.6067360424533,56.05939992419043,0.0959
13,2017-01-01 13:00:00,-12.453981838377684,756.5128850852542,56.22699091918884,0.09179999999999999
14,2017-01-01 14:00:00,-13.173271498261187,756.3114839804869,,0.0877
15,2017-01-01 15:00:00,-14.5415131170601,755.9283763272232,,0.0836
16,2017-01-01 16:00:00,-16.700353622628683,755.323900985664,58.35017681131434,0.07949999999999999
17,2017-01-01 17:00:00,-19.099473557415397,754.6521474039237,59.5497367787077,0.07539999999999998
18,2017-01-01 18:00:00,-7.254530094926174,753.8937397630115,,0.07129999999999997
19,2017-01-01 19:00:00,168.26176521068595,753.2020696731506,,0.06719999999999997
20,2017-01-01 20:00:00,-26.847287143137052,752.4827595999217,63.423643571568526,0.06309999999999998
21,2017-01-01 21:00:00,-28.83873230911097,751.9251549534489,64.41936615455549,0.05899999999999997
22,2017-01-01 22:00:00,-30.589234851944077,751.4350142414556,65.29461742597204,0.05489999999999996
23,2017-01-01 23:00:00,-31.366255146010513,751.2174485591171,,0.050799999999999956
24,2017-01-02 00:00:00,-31.810982286999774,751.0929249596401,65.90549114349989,0.0041
25,2017-01-02 01:00:00,-31.257390670247805,751.2479306123306,,0.0082
26,2017-01-02 02:00:00,-30.43931958476776,751.476990516265,,0.0123
27,2017-01-02 03:00:00,-28.315370185938068,752.0716963479373,,0.0164
28,2017-01-02 04:00:00,26.55691075442248,752.5640649887617,63.27845537721124,0.020500000000000004
29,2017-01-02 05:00:00,-24.280330090495184,753.2015075746614,62.14016504524759,0.024600000000000004
30,2017-01-02 06:00:00,-21.4995034431279,753.9801390359241,60.74975172156395,0.028700000000000003
31,2017-01-02 07:00:00,-2.545795886271023,754.6262095288023,59.596054412853064,0.0328
32,2017-01-02 08:00:00,-16.691635177593056,755.326342150274,,0.0369
33,2017-01-02 09:00:00,-14.395453068492797,755.969273140822,57.1977265342464,0.041
34,2017-01-02 10:00:00,-12.77786546527164,756.4221976697239,,0.0451
35,2017-01-02 11:00:00,-12.086543086725655,756.6157679357168,56.04327154336283,0.049199999999999994
36,2017-01-02 12:00:00,-11.689568479380636,756.7269208257734,,0.0959
37,2017-01-02 13:00:00,-12.027715001168344,756.6322397996729,56.01385750058417,0.09179999999999999
38,2017-01-02 14:00:00,-13.14201534213472,756.3202357042023,56.57100767106736,0.0877
39,2017-01-02 15:00:00,-14.0688874344823,756.060711518345,57.034443717241146,0.0836
