,date,temperature,atmpressure,relhumidity,illuminance
0,2022-01-01 00:00:00,31.22081314804024,129813.84554137415,85.3722721778724,35694.444444444445
1,2022-01-01 00:30:00,31.51904255120962,129814.55536591531,85.28747177642283,35694.444444444445
2,2022-01-01 01:00:00,31.815994890289613,129815.26129955518,85.20303450331107,35694.444444444445
3,2022-01-01 01:30:00,32.110398569775334,129815.96033727936,85.11932193190361,35694.444444444445
4,2022-01-01 02:00:00,32.40099290791355,129816.6495141194,85.03669253228303,35694.444444444445
5,2022-01-01 02:30:00,32.68653353513549,129817.32591733456,84.95550013622399,35694.444444444445
6,2022-01-01 03:00:00,32.9657977226384,129817.98669820206,84.87609242203128,35694.444444444445
7,2022-01-01 03:30:00,33.23758961829798,129818.62908337904,84.798809425728,35694.444444444445
8,2022-01-01 04:00:00,33.50074536749076,129819.25038580186,,35694.444444444445
9,2022-01-01 04:30:00,33.75413809689829,129819.84801509295,,35694.444444444445
10,2022-01-01 05:00:00,33.99668273995168,129820.41948745119,84.58296417113625,35694.444444444445
11,2022-01-01 05:30:00,34.22734068325326,129820.96243500273,84.517377458419,35694.444444444445
12,2022-01-01 06:00:00,34.445124214078554,129821.47461459432,84.4554515361363,35694.444444444445
13,2022-01-01 06:30:00,34.64910074991383,129821.95391601505,84.39745158059435,35694.444444444445
14,2022-01-01 07:00:00,34.83839683191759,129822.39836963276,84.34362595650714,35694.444444444445
15,2022-01-01 07:30:00,35.01220186520545,129822.80615343705,84.29420515346045,
16,2022-01-01 08:00:00,35.16977158994181,129823.17559948088,84.24940079892016,
17,2022-01-01 08:30:00,35.31043126837483,,84.20940475201088,35694.444444444445
18,2022-01-01 09:00:00,,129823.79361121175,84.17438828194581,35694.444444444445
19,2022-01-01 09:30:00,35.538686171648926,129824.03966077758,84.14450133462557,35694.444444444445
20,2022-01-01 10:00:00,35.62530397395186,,,35694.444444444445
21,2022-01-01 10:30:00,35.69306107034851,129824.40085337027,84.1006054167706,35694.444444444445
22,2022-01-01 11:00:00,35.741667314549844,129824.51453156892,84.08678441529514,35694.444444444445
23,2022-01-01 11:30:00,35.77091456715603,129824.58292309685,84.07846806977071,35694.444444444445
24,2022-01-01 12:00:00,35.78067758694128,129824.60575107171,84.0756919920656,35694.444444444445
25,2022-01-01 12:30:00,35.77091456715603,129824.58292309685,84.07846806977071,35694.444444444445
26,2022-01-01 13:00:00,35.741667314549844,129824.51453156892,,35694.444444444445
27,2022-01-01 13:30:00,35.69306107034851,129824.40085337027,84.1006054167706,35694.444444444445
28,2022-01-01 14:00:00,35.62530397395186,,84.11987189054693,
29,2022-01-01 14:30:00,35.538686171648926,129824.03966077758,84.14450133462557,35694.444444444445
30,2022-01-01 15:00:00,35.43357857416697,129823.79361121175,84.17438828194581,35694.444444444445
31,2022-01-01 15:30:00,35.31043126837483,129823.50519971483,84.20940475201088,35694.444444444445
32,2022-01-01 16:00:00,35.16977158994182,129823.17559948088,84.24940079892016,35694.444444444445
33,2022-01-01 16:30:00,35.01220186520545,129822.80615343705,84.29420515346045,35694.444444444445
34,2022-01-01 17:00:00,,129822.39836963276,84.34362595650714,35694.444444444445
35,2022-01-01 17:30:00,34.64910074991383,129821.95391601505,84.39745158059435,35694.444444444445
36,2022-01-01 18:00:00,34.445124214078554,129821.47461459432,84.4554515361363,35694.444444444445
37,2022-01-01 18:30:00,34.22734068325326,129820.96243500273,84.517377458419,35694.444444444445
38,2022-01-01 19:00:00,,129820.41948745119,84.58296417113625,35694.444444444445
39,2022-01-01 19:30:00,33.75413809689829,129819.84801509295,84.65193082191512,35694.444444444445
40,2022-01-01 20:00:00,33.50074536749076,129819.25038580186,84.723982084969,35694.444444444445
41,2022-01-01 20:30:00,33.23758961829798,129818.62908337904,84.798809425728,35694.444444444445
42,2022-01-01 21:00:00,32.9657977226384,129817.98669820206,84.87609242203128,35694.444444444445
43,2022-01-01 21:30:00,32.68653353513549,129817.32591733456,84.95550013622399,35694.444444444445
44,2022-01-01 22:00:00,32.40099290791355,129816.6495141194,85.03669253228303,
45,2022-01-01 22:30:00,32.110398569775334,129815.96033727936,85.11932193190361,35694.444444444445
46,2022-01-01 23:00:00,,129815.26129955518,85.20303450331107,35694.444444444445
47,2022-01-01 23:30:00,31.51904255120962,129814.55536591531,85.28747177642283,35694.444444444445
48,2022-01-02 00:00:00,33.409980128596594,,86.39843163575803,1000.0
49,2022-01-02 00:30:00,33.102014737515915,129818.30873774308,86.07880486122029,35996.500243426046
