,temperature,atmpressure,relhumidity,illuminance
2022-01-01 00:00:00,-0.43288158442208946,973.6839142506227,85.3722721778724,35694.444444444445
2022-01-01 00:30:00,-0.2671985826613237,973.6892383725205,85.28747177642283,35694.444444444445
2022-01-01 01:00:00,-0.10222506095021477,973.6945333102583,85.20303450331107,35694.444444444445
2022-01-01 01:30:00,0.06133253876407463,973.6997765243752,85.11932193190361,35694.444444444445
2022-01-01 02:00:00,0.22277383772974835,973.7049457757785,85.03669253228303,35694.444444444445
2022-01-01 02:30:00,0.3814075195197163,973.7100192171158,84.95550013622399,35694.444444444445
2022-01-01 03:00:00,0.536554290354668,973.7149754812096,84.87609242203128,35694.444444444445
2022-01-01 03:30:00,0.6875497879433223,973.7197937662775,84.798809425728,35694.444444444445
2022-01-01 04:00:00,0.8337474263837541,973.7244539176849,84.723982084969,35694.444444444445
2022-01-01 04:30:00,0.9745211649434922,973.7289365060019,84.65193082191512,35694.444444444445
2022-01-01 05:00:00,1.109268188862046,973.7332229011885,84.58296417113625,35694.444444444445
2022-01-01 05:30:00,1.2374114906962566,973.7372953427295,84.517377458419,35694.444444444445
2022-01-01 06:00:00,1.3584023411547521,973.7411370055929,84.4554515361363,35694.444444444445
2022-01-01 06:30:00,1.4717226388410165,973.7447320618942,84.39745158059435,35694.444444444445
2022-01-01 07:00:00,1.5768871288431088,973.7480657381782,84.34362595650714,35694.444444444445
2022-01-01 07:30:00,1.673445480669693,973.7511243682424,84.29420515346045,35694.444444444445
2022-01-01 08:00:00,1.7609842166343403,973.7538954414554,84.24940079892016,35694.444444444445
2022-01-01 08:30:00,1.8391284824304592,973.7563676465163,84.20940475201088,35694.444444444445
2022-01-01 09:00:00,1.9075436523149834,973.7585309106432,84.17438828194581,35694.444444444445
2022-01-01 09:30:00,1.9659367620271806,973.760376434157,84.14450133462557,35694.444444444445
2022-01-01 10:00:00,2.01405776330659,973.7618967204592,84.11987189054693,35694.444444444445
2022-01-01 10:30:00,2.051700594638062,973.7630856013956,84.1006054167706,35694.444444444445
2022-01-01 11:00:00,2.0787040636388032,973.7639382580052,84.08678441529514,35694.444444444445
2022-01-01 11:30:00,2.094952537308904,973.7644512366504,84.07846806977071,35694.444444444445
2022-01-01 12:00:00,2.100376437189598,973.7646224605429,84.0756919920656,35694.444444444445
